"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Disc Number","Track Number","Track Duration (ms)","Added By","Added At"
"spotify:track:2ChLKTRblfLAx7Byj4QMoK","Somnium - Original Mix","spotify:artist:6q8R4RVlc4DZ1XElNLj6Ag","Congi","spotify:album:6873guISGmaqfuYIhva7C8","Deep Heads Dubstep Volume 1","1","7","334217","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:6QjbogqvsVjP7qIJXMSWJI","Meek Dub","spotify:artist:0Dk9atH2YtBzyWlxu5VpyC","Somah","spotify:album:0zfH6mXiQngxOv7AnZYnHt","Mercy","1","2","263400","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:54i2j3dtCmEGm06nL11HiK","Monster","spotify:artist:1m7dukoGV16L1hVKHcX5CZ","Kwizma","spotify:album:6pKCHMKp0cEg2EjfQgdXNg","Monster EP","1","1","333677","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:38i1mmWldXA7WIv7PzrRvX","Pondlife","spotify:artist:1YLeUsNujSB7Fp1tnCWZi2","SP:MC","spotify:album:1TWrG5ikM6L4Ti26sWAssO","Pondlife / R1","1","1","305942","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:21Vr7fxKre54Pupz2ZFX8R","M16","spotify:artist:4mbZ3bklPWXRNZs35sYdcR","Kaiju","spotify:album:548X3x8VBE1nbehgqgoupi","M16 / Clang","1","1","336000","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:47UZ5TT69uxmBfUzAgy5FW","Verify Me - VIP","spotify:artist:5sZGZj7wvhCwlG6KBvG90a","Ternion Sound","spotify:album:3du86awsODuMWqseXq6IIz","DUPPLATES Vol. 2","1","3","306897","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:1dPprcPTyN5BkgIbdjVdQ8","Forest Temple","spotify:artist:5sZGZj7wvhCwlG6KBvG90a","Ternion Sound","spotify:album:3du86awsODuMWqseXq6IIz","DUPPLATES Vol. 2","1","1","367723","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:0LrQNiZ1Pxy5HzFgEzJGvC","Nebula","spotify:artist:28ee6rnxMl8AqwcroPfivP","Skeptical","spotify:album:5V2Mq2p6iwUrzrIAfx1dR5","Enjoy This Trip","1","2","307671","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:30Z"
"spotify:track:75FHrIG0zVRmnG0Da9Q5TI","Devolution","spotify:artist:2cm3JWT3zDUUP1Xh7YQhjN","Luthor","spotify:album:7mv0h4yarLMjSonDxg5lTT","Step Back","1","2","288000","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:30Z"
"spotify:track:4BfBy1ZrZWQPRJOanhpUyD","Stereophonic","spotify:artist:4FgEa4SLDSV3oGpaFvlZi9","Pushloop","spotify:album:10hyiZQdOXWNfc81NnL79d","Stereophonic EP","1","1","192000","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:30Z"
